fdc_id,food_name,calories,protein,carbs,fat,source
320383,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",,23.9,,1.91,USDA
320384,"Beef, Eye of Round roast/steak, select, raw, comp5, lean (36BRERS/37BRERRS)",,,,,USDA
320385,"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp5, lean",,,,,USDA
320386,"FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean",,,,,USDA
320387,"Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean",,,,,USDA
320388,"Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",,,,,USDA
320389,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",,23.5,,2.81,USDA
320390,"Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",,,,,USDA
320391,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",,23.8,,2.07,USDA
320392,"Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",,,,,USDA
320393,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",,23.8,,3.3,USDA
320394,"Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",,,,,USDA
320395,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",,24.0,,2.24,USDA
320396,"Beef, Eye of Round roast/steak, select, raw, comp6, lean (36BRERS/37BRERRS)",,,,,USDA
320397,"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp6, lean",,,,,USDA
320398,"Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean",,,,,USDA
320399,"FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean",,,,,USDA
320400,"Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",,,,,USDA
320401,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",,23.9,,3.01,USDA
320402,"Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",,,,,USDA
320403,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",,23.3,,3.45,USDA
320404,"Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",,,,,USDA
320405,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",,22.9,,1.98,USDA
320406,"Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",,,,,USDA
320407,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",,23.3,,2.27,USDA
320408,"Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",,,,,USDA
320409,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",,22.7,,1.47,USDA
320410,"Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",,,,,USDA
320411,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",,22.6,,1.74,USDA
320413,"TOMATOES, GRAPE",,,,,USDA
320414,"TOMATOES, GRAPE",,,,,USDA
320415,"TOMATOES, GRAPE",,,,,USDA
320416,"TOMATOES, GRAPE",,,,,USDA
320417,"TOMATOES, GRAPE",,,,,USDA
320418,"TOMATOES, GRAPE",,,,,USDA
320419,"TOMATOES, GRAPE",,,,,USDA
